"RMA - Return Management","RMA - Retourenverwaltung"
"General","Allgemein"
"Enable RMA","RMA Aktivieren"
"Enable or disable the RMA functionality.","RMA-Funktionalität aktivieren oder deaktivieren."
"Increment ID Prefix","Inkrement-ID-Präfix"
"Prefix for the RMA increment ID (e.g. RMA-).","Präfix für die RMA Inkrement-ID (z.B. RMA-)."
"Return Period (Days)","Rückgabefrist (Tage)"
"Number of days after order completion within which a return can be requested.","Anzahl der Tage nach Bestellabschluss, innerhalb derer eine Rücksendung beantragt werden kann."
"Policy","Richtlinie"
"Auto-Approve Returns","Retouren Automatisch Genehmigen"
"If enabled, new RMA requests will be automatically approved.","Wenn aktiviert, werden neue RMA-Anfragen automatisch genehmigt."
"Allowed Order Statuses","Erlaubte Bestellstatus"
"Only orders with these statuses can have a return request.","Nur Bestellungen mit diesen Status können eine Rücksendeanfrage haben."
"Email Notifications","E-Mail-Benachrichtigungen"
"Email Sender","E-Mail-Absender"
"New RMA Email Template (Customer)","Neue RMA E-Mail-Vorlage (Kunde)"
"Email sent to the customer when a new RMA is created.","E-Mail, die an den Kunden gesendet wird, wenn ein neues RMA erstellt wird."
"Status Change Email Template (Customer)","Statusänderung E-Mail-Vorlage (Kunde)"
"Email sent to the customer when the RMA status changes.","E-Mail, die an den Kunden gesendet wird, wenn sich der RMA-Status ändert."
"New RMA Email Template (Admin)","Neue RMA E-Mail-Vorlage (Admin)"
"Email sent to the admin when a new RMA is created.","E-Mail, die an den Admin gesendet wird, wenn ein neues RMA erstellt wird."
"Admin Notification Email","Admin-Benachrichtigungs-E-Mail"
"Email address to receive admin RMA notifications.","E-Mail-Adresse für Admin-RMA-Benachrichtigungen."
"New RMA Request (Customer)","Neue RMA-Anfrage (Kunde)"
"RMA Status Change (Customer)","RMA-Statusänderung (Kunde)"
"New RMA Request (Admin)","Neue RMA-Anfrage (Admin)"
"Your RMA Request #%increment_id from %store_name","Ihre Rücksendeanfrage #%increment_id von %store_name"
"Update to your RMA Request #%increment_id from %store_name","Aktualisierung Ihrer Rücksendeanfrage #%increment_id von %store_name"
"New RMA Request #%increment_id","Neue Rücksendeanfrage #%increment_id"
"We have received your return request <strong>#%increment_id</strong> for order <strong>#%order_increment_id</strong>.","Wir haben Ihre Rücksendeanfrage <strong>#%increment_id</strong> für die Bestellung <strong>#%order_increment_id</strong> erhalten."
"We will review your request and get back to you as soon as possible.","Wir werden Ihre Anfrage prüfen und uns so schnell wie möglich bei Ihnen melden."
"RMA Details","RMA-Details"
"RMA Number:","RMA-Nummer:"
"Order Number:","Bestellnummer:"
"Reason:","Grund:"
"Resolution:","Lösung:"
"You can check the status of your return request by <a href=""%account_url"">logging into your account</a>.","Sie können den Status Ihrer Rücksendeanfrage überprüfen, indem Sie sich <a href=""%account_url"">in Ihr Konto einloggen</a>."
"If you have questions, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Bei Fragen können Sie uns per E-Mail erreichen unter <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","oder uns anrufen unter <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Unsere Öffnungszeiten sind <span class=""no-link"">%store_hours</span>."
"Your return request <strong>#%increment_id</strong> for order <strong>#%order_increment_id</strong> has been updated with a status of <strong>%status</strong>.","Ihre Rücksendeanfrage <strong>#%increment_id</strong> für die Bestellung <strong>#%order_increment_id</strong> wurde mit dem Status <strong>%status</strong> aktualisiert."
"A new return request <strong>#%increment_id</strong> has been submitted.","Eine neue Rücksendeanfrage <strong>#%increment_id</strong> wurde eingereicht."
"Customer:","Kunde:"
"Store:","Shop:"
"Store View Specific Labels","Store-View-spezifische Bezeichnungen"
"My Returns","Meine Rücksendungen"
"Request Return","Rücksendung Anfordern"
"You have no return requests.","Sie haben keine Rücksendeanfragen."
"Return Information","Rücksendeinformationen"
"Return Details","Rücksendedetails"
"RMA #","RMA #"
"Order #","Bestellung #"
"Status","Status"
"Created At","Erstellt am"
"Updated At","Aktualisiert am"
"Action","Aktion"
"View","Anzeigen"
"Back","Zurück"
"Back to My Returns","Zurück zu Meinen Rücksendungen"
"Order Information","Bestellinformationen"
"Order","Bestellung"
"Items to Return","Artikel zur Rücksendung"
"Select","Auswählen"
"Product","Produkt"
"SKU","SKU"
"Quantity","Menge"
"Condition","Zustand"
"Reason","Grund"
"Preferred Resolution","Bevorzugte Lösung"
"-- Select an order --","-- Bestellung auswählen --"
"-- Select a reason --","-- Grund auswählen --"
"-- Select a resolution --","-- Lösung auswählen --"
"-- Select --","-- Auswählen --"
"Select an order to see available items.","Wählen Sie eine Bestellung aus, um verfügbare Artikel anzuzeigen."
"Loading items...","Artikel werden geladen..."
"No items available for return in this order.","Keine Artikel für die Rücksendung in dieser Bestellung verfügbar."
"An error occurred while loading order items.","Beim Laden der Bestellartikel ist ein Fehler aufgetreten."
"Submit Return Request","Rücksendeanfrage Absenden"
"Please select an order.","Bitte wählen Sie eine Bestellung aus."
"Please select at least one item to return.","Bitte wählen Sie mindestens einen Artikel zur Rücksendung aus."
"The selected order does not exist.","Die ausgewählte Bestellung existiert nicht."
"You are not authorized to create a return for this order.","Sie sind nicht berechtigt, eine Rücksendung für diese Bestellung zu erstellen."
"This order is not eligible for a return.","Diese Bestellung ist nicht für eine Rücksendung berechtigt."
"Could not determine the initial RMA status.","Der anfängliche RMA-Status konnte nicht ermittelt werden."
"Your return request has been submitted successfully.","Ihre Rücksendeanfrage wurde erfolgreich eingereicht."
"Your return request #%1 has been submitted successfully.","Ihre Rücksendeanfrage #%1 wurde erfolgreich eingereicht."
"Something went wrong while submitting your return request.","Beim Einreichen Ihrer Rücksendeanfrage ist ein Fehler aufgetreten."
"This return request no longer exists.","Diese Rücksendeanfrage existiert nicht mehr."
"You are not authorized to view this return request.","Sie sind nicht berechtigt, diese Rücksendeanfrage anzuzeigen."
"Invalid guest order session.","Ungültige Gast-Bestellsitzung."
"No order ID provided.","Keine Bestell-ID angegeben."
"You are not authorized to access this order.","Sie sind nicht berechtigt, auf diese Bestellung zuzugreifen."
"Unknown Product","Unbekanntes Produkt"
"N/A","k.A."
"max","max"
"Guest","Gast"
"Comments","Kommentare"
"No comments yet.","Noch keine Kommentare."
"No comments yet. Start the conversation!","Noch keine Kommentare. Starten Sie das Gespräch!"
"Type your comment...","Schreiben Sie Ihren Kommentar..."
"Type your message...","Schreiben Sie Ihre Nachricht..."
"Visible to Customer","Für Kunden sichtbar"
"Add Comment","Kommentar hinzufügen"
"Send","Senden"
"Internal Note","Interne Notiz"
"Support","Support"
"Invalid request.","Ungültige Anfrage."
"RMA not found.","RMA nicht gefunden."
"Not authorized.","Nicht autorisiert."
"Could not save comment.","Kommentar konnte nicht gespeichert werden."
"Attachments","Anhänge"
"Allowed File Extensions","Erlaubte Dateierweiterungen"
"Comma-separated list of allowed file extensions (e.g. jpg,png,pdf,mp4).","Kommagetrennte Liste erlaubter Dateierweiterungen (z.B. jpg,png,pdf,mp4)."
"Maximum File Size (MB)","Maximale Dateigröße (MB)"
"Maximum allowed file size in megabytes per single file.","Maximal erlaubte Dateigröße in Megabyte pro Datei."
"Maximum Files Per Upload","Maximale Dateien pro Upload"
"Maximum number of files allowed per RMA creation or comment.","Maximale Anzahl erlaubter Dateien pro RMA-Erstellung oder Kommentar."
"File not found.","Datei nicht gefunden."
"Attachment not found.","Anhang nicht gefunden."
"Could not download the file.","Die Datei konnte nicht heruntergeladen werden."
"File cannot be saved to the temporary folder.","Die Datei kann nicht im temporären Ordner gespeichert werden."
"File exceeds the maximum allowed size of %1 MB.","Die Datei überschreitet die maximal erlaubte Größe von %1 MB."
"Drag & drop files here or click to browse","Dateien hierher ziehen oder klicken zum Durchsuchen"
"Drag & drop files or click to attach","Dateien ziehen oder klicken zum Anhängen"
"No attachments yet.","Noch keine Anhänge."
"File type not allowed.","Dateityp nicht erlaubt."
"File exceeds the maximum allowed size.","Die Datei überschreitet die maximal erlaubte Größe."
"Upload failed.","Upload fehlgeschlagen."
"Delete this attachment?","Diesen Anhang löschen?"
"File type not allowed: %1","Dateityp nicht erlaubt: %1"
"File ""%1"" exceeds the maximum allowed size.","Die Datei ""%1"" überschreitet die maximal erlaubte Größe."
"Maximum number of files reached (%1).","Maximale Anzahl an Dateien erreicht (%1)."
"Uploading %1...","Hochladen von %1..."
"Remove","Entfernen"
"Invalid attachment path.","Ungültiger Anhangpfad."
"Could not delete attachment.","Anhang konnte nicht gelöscht werden."
"This %1 no longer exists.","Das Element %1 existiert nicht mehr."
"You saved the %1.","%1 wurde gespeichert."
"Something went wrong while saving the %1.","Beim Speichern von %1 ist ein Fehler aufgetreten."
"We can't find the %1 to delete.","Das Element %1 zum Löschen wurde nicht gefunden."
"You deleted the %1.","%1 wurde gelöscht."
"Please correct the data sent.","Bitte korrigieren Sie die gesendeten Daten."
"A total of %1 record(s) have been deleted.","Insgesamt %1 Datensatz/Datensätze wurden gelöscht."
"%1 status(es) are used by the system and cannot be deleted.","%1 Status werden vom System verwendet und können nicht gelöscht werden."
"Unknown","Unbekannt"
"Admin","Admin"
"Are you sure you want to delete this RMA request?","Sind Sie sicher, dass Sie diese RMA-Anfrage löschen möchten?"
"Are you sure you want to delete this status?","Sind Sie sicher, dass Sie diesen Status löschen möchten?"
"Comment text is required.","Kommentartext ist erforderlich."
"Customer","Kunde"
"Customer & Order","Kunde & Bestellung"
"Delete","Löschen"
"Delete status","Status löschen"
"Edit","Bearbeiten"
"Email","E-Mail"
"Item does not belong to this RMA.","Artikel gehört nicht zu diesem RMA."
"Manage RMA Requests","RMA-Anfragen Verwalten"
"New RMA Request","Neue RMA-Anfrage"
"Order email does not match.","E-Mail der Bestellung stimmt nicht überein."
"Order Items","Bestellartikel"
"Order not found.","Bestellung nicht gefunden."
"Order number, email and RMA ID are required.","Bestellnummer, E-Mail und RMA-ID sind erforderlich."
"Product Name","Produktname"
"Purchased From","Gekauft bei"
"Qty Requested","Angeforderte Menge"
"Requested Items","Angeforderte Artikel"
"RMA","RMA"
"RMA ID is required.","RMA-ID ist erforderlich."
"RMA Information","RMA-Informationen"
"RMA Item Conditions","RMA-Artikelzustände"
"RMA Reasons","RMA-Gründe"
"RMA Resolution Types","RMA-Lösungstypen"
"RMA Statuses","RMA-Status"
"Save","Speichern"
"Something went wrong while saving the RMA request.","Beim Speichern der RMA-Anfrage ist ein Fehler aufgetreten."
"This RMA request no longer exists.","Diese RMA-Anfrage existiert nicht mehr."
"You are not authorized to comment on this return.","Sie sind nicht berechtigt, diese Rücksendung zu kommentieren."
"You are not authorized to view this return.","Sie sind nicht berechtigt, diese Rücksendung anzuzeigen."
"You deleted the RMA request.","Die RMA-Anfrage wurde gelöscht."
"You saved the RMA request.","Die RMA-Anfrage wurde gespeichert."
"Active","Aktiv"
"Add New Item Condition","Neuen Artikelzustand Hinzufügen"
"Add New Reason","Neuen Grund Hinzufügen"
"Add New Resolution Type","Neuen Lösungstyp Hinzufügen"
"Add New RMA Request","Neue RMA-Anfrage Hinzufügen"
"Add New Status","Neuen Status Hinzufügen"
"Are you sure you want to delete selected items?","Sind Sie sicher, dass Sie die ausgewählten Elemente löschen möchten?"
"Are you sure you want to delete selected items? System statuses will be skipped.","Sind Sie sicher, dass Sie die ausgewählten Elemente löschen möchten? Systemstatus werden übersprungen."
"Are you sure you want to delete selected RMA requests?","Sind Sie sicher, dass Sie die ausgewählten RMA-Anfragen löschen möchten?"
"Code","Code"
"Customer Email","Kunden-E-Mail"
"Customer Name","Kundenname"
"Delete items","Elemente löschen"
"ID","ID"
"Item Condition Information","Artikelzustand-Informationen"
"Label","Bezeichnung"
"Order ID","Bestell-ID"
"Processing","Verarbeitung"
"Reason Information","Grund-Informationen"
"Resolution","Lösung"
"Resolution Type","Lösungstyp"
"Resolution Type Information","Lösungstyp-Informationen"
"RMA Request","RMA-Anfrage"
"Search by order number...","Nach Bestellnummer suchen..."
"Sort Order","Sortierreihenfolge"
"Start typing an order number to search","Bestellnummer eingeben zum Suchen"
"Status Information","Status-Informationen"
"Unique identifier. Cannot be changed after creation.","Eindeutiger Bezeichner. Kann nach der Erstellung nicht geändert werden."
"Item ID %1 is not eligible for return on order #%2.","Artikel-ID %1 ist nicht für Rücksendung bei Bestellung #%2 berechtigt."
"Requested qty for item %1 exceeds available qty (%2).","Angeforderte Menge für Artikel %1 übersteigt verfügbare Menge (%2)."
"New Request","Neue Anfrage"
"Need Details","Details erforderlich"
"Approved","Genehmigt"
"Rejected","Abgelehnt"
"Shipped by Customer","Vom Kunden versendet"
"Received by Admin","Vom Administrator erhalten"
"Canceled by Customer","Vom Kunden storniert"
"Resolved","Gelöst"
"Wrong Product Delivered","Falsches Produkt geliefert"
"Wrong Product Ordered","Falsches Produkt bestellt"
"Wrong Product Description","Falsche Produktbeschreibung"
"Defective/Does not Work Properly","Defekt/Funktioniert nicht richtig"
"Damaged During Shipping","Beim Versand beschädigt"
"Late Delivery of Items","Verspätete Lieferung der Artikel"
"No Longer Needed/Wanted","Nicht mehr benötigt/gewünscht"
"Product Did Not Meet My Expectations","Produkt entsprach nicht meinen Erwartungen"
"Return","Rückgabe"
