"RMA - Return Management","RMA - Gestionare Retururi"
"General","General"
"Enable RMA","Activează RMA"
"Enable or disable the RMA functionality.","Activați sau dezactivați funcționalitatea RMA."
"Increment ID Prefix","Prefix ID Incremental"
"Prefix for the RMA increment ID (e.g. RMA-).","Prefix pentru ID-ul incremental RMA (ex. RMA-)."
"Return Period (Days)","Perioadă Retur (Zile)"
"Number of days after order completion within which a return can be requested.","Numărul de zile după finalizarea comenzii în care poate fi solicitată o returnare."
"Policy","Politică"
"Auto-Approve Returns","Aprobare Automată Retururi"
"If enabled, new RMA requests will be automatically approved.","Dacă este activat, cererile noi de RMA vor fi aprobate automat."
"Allowed Order Statuses","Statusuri Comandă Permise"
"Only orders with these statuses can have a return request.","Numai comenzile cu aceste statusuri pot face obiectul unei cereri de retur."
"Email Notifications","Notificări Email"
"Email Sender","Expeditor Email"
"New RMA Email Template (Customer)","Șablon Email RMA Nou (Client)"
"Email sent to the customer when a new RMA is created.","Email trimis clientului când este creat un nou RMA."
"Status Change Email Template (Customer)","Șablon Email Schimbare Status (Client)"
"Email sent to the customer when the RMA status changes.","Email trimis clientului când statusul RMA se schimbă."
"New RMA Email Template (Admin)","Șablon Email RMA Nou (Admin)"
"Email sent to the admin when a new RMA is created.","Email trimis adminului când este creat un nou RMA."
"Admin Notification Email","Email Notificare Admin"
"Email address to receive admin RMA notifications.","Adresă email pentru primirea notificărilor RMA de la admin."
"New RMA Request (Customer)","Cerere RMA Nouă (Client)"
"RMA Status Change (Customer)","Schimbare Status RMA (Client)"
"New RMA Request (Admin)","Cerere RMA Nouă (Admin)"
"Your RMA Request #%increment_id from %store_name","Cererea dvs. RMA #%increment_id de la %store_name"
"Update to your RMA Request #%increment_id from %store_name","Actualizare la cererea dvs. RMA #%increment_id de la %store_name"
"New RMA Request #%increment_id","Cerere RMA Nouă #%increment_id"
"We have received your return request <strong>#%increment_id</strong> for order <strong>#%order_increment_id</strong>.","Am primit cererea dvs. de retur <strong>#%increment_id</strong> pentru comanda <strong>#%order_increment_id</strong>."
"We will review your request and get back to you as soon as possible.","Vom examina cererea dvs. și vă vom răspunde cât mai curând posibil."
"RMA Details","Detalii RMA"
"RMA Number:","Număr RMA:"
"Order Number:","Număr Comandă:"
"Reason:","Motiv:"
"Resolution:","Soluționare:"
"You can check the status of your return request by <a href=""%account_url"">logging into your account</a>.","Puteți verifica statusul cererii dvs. de retur <a href=""%account_url"">conectându-vă la contul dvs.</a>."
